测点编号|监测时间|温度(℃)
T-E-1|2017-05-17 15:51:06|34.19
T-E-1|2017-05-17 15:51:17|35.19
T-E-1|2017-05-17 15:51:28|34.19
T-E-1|2017-05-17 15:51:40|34.19
T-E-1|2017-05-17 15:51:51|32.19
T-E-1|2017-05-17 15:52:02|35.18
T-E-1|2017-05-17 15:52:13|34.18
T-E-1|2017-05-17 15:52:24|32.18
T-E-1|2017-05-17 15:52:36|35.18
T-E-1|2017-05-17 15:52:47|34.18
T-E-1|2017-05-17 15:52:58|34.18
T-E-1|2017-05-17 15:53:09|34.17
T-E-1|2017-05-17 15:53:20|33.17
T-E-1|2017-05-17 15:53:31|35.17
T-E-1|2017-05-17 15:53:43|33.17
T-E-1|2017-05-17 15:53:54|32.17
T-E-1|2017-05-17 15:54:05|33.16
T-E-1|2017-05-17 15:54:16|35.16
T-E-1|2017-05-17 15:54:27|33.16
T-E-1|2017-05-17 15:54:38|35.16
T-E-1|2017-05-17 15:54:50|32.16
T-E-1|2017-05-17 15:55:01|35.14
T-E-1|2017-05-17 15:55:12|32.14
T-E-1|2017-05-17 15:55:23|35.14
T-E-1|2017-05-17 15:55:35|35.14
T-E-1|2017-05-17 15:55:46|33.14
T-E-1|2017-05-17 15:55:57|35.14
T-E-1|2017-05-17 15:56:08|32.13
T-E-1|2017-05-17 15:56:19|34.13
T-E-1|2017-05-17 15:56:31|34.13
T-E-1|2017-05-17 15:56:42|32.13
T-E-1|2017-05-17 15:56:53|34.13
T-E-1|2017-05-17 15:57:04|35.12
T-E-1|2017-05-17 15:57:16|35.12
T-E-1|2017-05-17 15:57:27|33.12
T-E-1|2017-05-17 15:57:38|32.12
T-E-1|2017-05-17 15:57:49|34.12
T-E-1|2017-05-17 15:58:00|32.1
T-E-1|2017-05-17 15:58:12|33.1
T-E-1|2017-05-17 15:58:23|35.1
T-E-1|2017-05-17 15:58:34|33.1
T-E-1|2017-05-17 15:58:45|33.1
T-E-1|2017-05-17 15:58:56|33.1
T-E-1|2017-05-17 15:59:08|34.09
T-E-1|2017-05-17 15:59:19|32.09
T-E-1|2017-05-17 15:59:30|35.09
T-E-1|2017-05-17 15:59:41|35.09
T-E-1|2017-05-17 15:59:52|35.09
T-E-1|2017-05-17 16:00:04|35.08
T-E-1|2017-05-17 16:00:15|32.08
T-E-1|2017-05-17 16:00:27|33.08
T-E-1|2017-05-17 16:00:38|34.08
T-E-1|2017-05-17 16:00:49|35.08
T-E-1|2017-05-17 16:01:00|35.07
T-E-1|2017-05-17 16:01:12|35.07
T-E-1|2017-05-17 16:01:23|32.07
T-E-1|2017-05-17 16:01:34|33.07
T-E-1|2017-05-17 16:01:46|33.07
T-E-1|2017-05-17 16:01:57|32.07
T-E-1|2017-05-17 16:02:08|34.05
T-E-1|2017-05-17 16:02:19|34.05
T-E-1|2017-05-17 16:02:30|35.05
T-E-1|2017-05-17 16:02:42|33.05
T-E-1|2017-05-17 16:02:53|33.05
T-E-1|2017-05-17 16:03:04|35.04
T-E-1|2017-05-17 16:03:15|32.04
T-E-1|2017-05-17 16:03:27|32.04
T-E-1|2017-05-17 16:03:38|35.04
T-E-1|2017-05-17 16:03:49|33.04
T-E-1|2017-05-17 16:04:00|33.03
T-E-1|2017-05-17 16:04:11|34.03
T-E-1|2017-05-17 16:04:23|32.03
T-E-1|2017-05-17 16:04:34|32.03
T-E-1|2017-05-17 16:04:45|33.03
T-E-1|2017-05-17 16:04:56|34.03
T-E-1|2017-05-17 16:05:08|35.01
T-E-1|2017-05-17 16:05:19|34.01
T-E-1|2017-05-17 16:05:30|35.01
T-E-1|2017-05-17 16:05:41|35.01
T-E-1|2017-05-17 16:05:53|35.01
T-E-1|2017-05-17 16:06:04|32
T-E-1|2017-05-17 16:06:15|32
T-E-1|2017-05-17 16:06:27|35
T-E-1|2017-05-17 16:06:38|35
T-E-1|2017-05-17 16:06:49|35
T-E-1|2017-05-17 16:07:00|34.99
T-E-1|2017-05-17 16:07:12|31.99
T-E-1|2017-05-17 16:07:23|32.99
T-E-1|2017-05-17 16:07:35|33.99
T-E-1|2017-05-17 16:07:46|34.99
T-E-1|2017-05-17 16:07:57|31.99
T-E-1|2017-05-17 16:08:08|33.97
T-E-1|2017-05-17 16:08:20|33.97
T-E-1|2017-05-17 16:08:31|32.97
T-E-1|2017-05-17 16:08:42|33.97
T-E-1|2017-05-17 16:08:53|34.97
T-E-1|2017-05-17 16:09:05|31.96
T-E-1|2017-05-17 16:09:16|33.96
T-E-1|2017-05-17 16:09:27|31.96
T-E-1|2017-05-17 16:09:39|34.96
T-E-1|2017-05-17 16:09:50|34.96
T-E-1|2017-05-17 16:10:01|34.95
T-E-1|2017-05-17 16:10:12|33.95
T-E-1|2017-05-17 16:10:24|31.95
T-E-1|2017-05-17 16:10:35|31.95
T-E-1|2017-05-17 16:10:46|34.95
T-E-1|2017-05-17 16:10:58|34.95
T-E-1|2017-05-17 16:11:09|33.93
T-E-1|2017-05-17 16:11:20|32.93
T-E-1|2017-05-17 16:11:32|34.93
T-E-1|2017-05-17 16:11:43|34.93
T-E-1|2017-05-17 16:11:54|33.93
T-E-1|2017-05-17 16:12:06|32.92
T-E-1|2017-05-17 16:12:17|34.92
T-E-1|2017-05-17 16:12:28|32.92
T-E-1|2017-05-17 16:12:40|32.92
T-E-1|2017-05-17 16:12:51|32.92
T-E-1|2017-05-17 16:13:02|31.91
T-E-1|2017-05-17 16:13:14|31.91
T-E-1|2017-05-17 16:13:25|33.91
T-E-1|2017-05-17 16:13:36|34.91
T-E-1|2017-05-17 16:13:48|32.91
T-E-1|2017-05-17 16:13:59|32.91
T-E-1|2017-05-17 16:14:10|34.89
T-E-1|2017-05-17 16:14:22|31.89
T-E-1|2017-05-17 16:14:33|33.89
T-E-1|2017-05-17 16:14:45|34.89
T-E-1|2017-05-17 16:14:56|33.89
T-E-1|2017-05-17 16:15:07|32.88
T-E-1|2017-05-17 16:15:19|34.88
T-E-1|2017-05-17 16:15:30|34.88
T-E-1|2017-05-17 16:15:42|32.88
T-E-1|2017-05-17 16:15:53|34.88
T-E-1|2017-05-17 16:16:04|31.86
T-E-1|2017-05-17 16:16:16|34.86
T-E-1|2017-05-17 16:16:27|32.86
T-E-1|2017-05-17 16:16:38|33.86
T-E-1|2017-05-17 16:16:50|31.86
T-E-1|2017-05-17 16:17:01|32.85
T-E-1|2017-05-17 16:17:13|33.85
T-E-1|2017-05-17 16:17:24|34.85
T-E-1|2017-05-17 16:17:35|32.85
T-E-1|2017-05-17 16:17:47|33.85
T-E-1|2017-05-17 16:17:58|31.85
T-E-1|2017-05-17 16:18:10|31.84
T-E-1|2017-05-17 16:18:21|33.84
T-E-1|2017-05-17 16:18:33|33.84
T-E-1|2017-05-17 16:18:44|31.84
T-E-1|2017-05-17 16:18:55|32.84
T-E-1|2017-05-17 16:19:07|33.82
T-E-1|2017-05-17 16:19:18|34.82
T-E-1|2017-05-17 16:19:30|31.82
T-E-1|2017-05-17 16:19:41|34.82
T-E-1|2017-05-17 16:19:52|32.82
T-E-1|2017-05-17 16:20:04|33.81
T-E-1|2017-05-17 16:20:15|31.81
T-E-1|2017-05-17 16:20:27|31.81
T-E-1|2017-05-17 16:20:38|33.81
T-E-1|2017-05-17 16:20:49|31.81
T-E-1|2017-05-17 16:21:01|34.79
T-E-1|2017-05-17 16:21:12|34.79
T-E-1|2017-05-17 16:21:24|31.79
T-E-1|2017-05-17 16:21:35|31.79
T-E-1|2017-05-17 16:21:47|32.79
T-E-1|2017-05-17 16:21:58|33.79
T-E-1|2017-05-17 16:22:09|34.78
T-E-1|2017-05-17 16:22:21|31.78
T-E-1|2017-05-17 16:22:32|32.78
T-E-1|2017-05-17 16:22:44|33.78
T-E-1|2017-05-17 16:22:55|34.78
T-E-1|2017-05-17 16:23:06|31.76
T-E-1|2017-05-17 16:23:18|33.76
T-E-1|2017-05-17 16:23:29|33.76
T-E-1|2017-05-17 16:23:41|34.76
T-E-1|2017-05-17 16:23:52|33.76
T-E-1|2017-05-17 16:24:04|33.75
T-E-1|2017-05-17 16:24:15|33.75
T-E-1|2017-05-17 16:24:27|32.75
T-E-1|2017-05-17 16:24:38|31.75
T-E-1|2017-05-17 16:24:49|31.75
T-E-1|2017-05-17 16:25:01|33.73
T-E-1|2017-05-17 16:25:12|34.73
T-E-1|2017-05-17 16:25:24|33.73
T-E-1|2017-05-17 16:25:35|32.73
T-E-1|2017-05-17 16:25:47|32.73
T-E-1|2017-05-17 16:25:58|31.73
T-E-1|2017-05-17 16:26:10|34.72
T-E-1|2017-05-17 16:26:21|31.72
T-E-1|2017-05-17 16:26:33|31.72
T-E-1|2017-05-17 16:26:44|31.72
T-E-1|2017-05-17 16:26:56|34.72
T-E-1|2017-05-17 16:27:07|34.71
T-E-1|2017-05-17 16:27:19|33.71
T-E-1|2017-05-17 16:27:30|33.71
T-E-1|2017-05-17 16:27:42|31.71
T-E-1|2017-05-17 16:27:53|34.71
T-E-1|2017-05-17 16:28:05|32.69
T-E-1|2017-05-17 16:28:16|31.69
T-E-1|2017-05-17 16:28:28|34.69
T-E-1|2017-05-17 16:28:39|33.69
T-E-1|2017-05-17 16:28:51|32.69
T-E-1|2017-05-17 16:29:03|31.68
T-E-1|2017-05-17 16:29:14|32.68
T-E-1|2017-05-17 16:29:26|33.68
T-E-1|2017-05-17 16:29:38|34.68
T-E-1|2017-05-17 16:29:49|31.68
T-E-1|2017-05-17 16:30:01|32.66
T-E-1|2017-05-17 16:30:12|34.66
T-E-1|2017-05-17 16:30:24|31.66
T-E-1|2017-05-17 16:30:36|31.66
T-E-1|2017-05-17 16:30:47|32.66
T-E-1|2017-05-17 16:30:59|33.66
T-E-1|2017-05-17 16:31:10|34.65
T-E-1|2017-05-17 16:31:22|33.65
T-E-1|2017-05-17 16:31:33|33.65
T-E-1|2017-05-17 16:31:45|31.65
T-E-1|2017-05-17 16:31:57|33.65
T-E-1|2017-05-17 16:32:08|34.63
T-E-1|2017-05-17 16:32:20|32.63
T-E-1|2017-05-17 16:32:31|31.63
T-E-1|2017-05-17 16:32:43|34.63
T-E-1|2017-05-17 16:32:54|32.63
T-E-1|2017-05-17 16:33:06|34.62
T-E-1|2017-05-17 16:33:17|33.62
T-E-1|2017-05-17 16:33:29|31.62
T-E-1|2017-05-17 16:33:41|31.62
T-E-1|2017-05-17 16:33:52|32.62
T-E-1|2017-05-17 16:34:04|31.6
T-E-1|2017-05-17 16:34:15|32.6
T-E-1|2017-05-17 16:34:27|34.6
T-E-1|2017-05-17 16:34:39|32.6
T-E-1|2017-05-17 16:34:50|33.6
T-E-1|2017-05-17 16:35:02|32.59
T-E-1|2017-05-17 16:35:14|31.59
T-E-1|2017-05-17 16:35:26|33.59
T-E-1|2017-05-17 16:35:37|34.59
T-E-1|2017-05-17 16:35:49|31.59
T-E-1|2017-05-17 16:36:00|31.57
T-E-1|2017-05-17 16:36:12|31.57
T-E-1|2017-05-17 16:36:23|31.57
T-E-1|2017-05-17 16:36:35|34.57
T-E-1|2017-05-17 16:36:47|31.57
T-E-1|2017-05-17 16:36:58|34.57
T-E-1|2017-05-17 16:37:10|33.55
T-E-1|2017-05-17 16:37:22|32.55
T-E-1|2017-05-17 16:37:33|33.55
T-E-1|2017-05-17 16:37:45|33.55
T-E-1|2017-05-17 16:37:57|34.55
T-E-1|2017-05-17 16:38:08|34.54
T-E-1|2017-05-17 16:38:20|32.54
T-E-1|2017-05-17 16:38:32|33.54
T-E-1|2017-05-17 16:38:44|33.54
T-E-1|2017-05-17 16:38:55|34.54
T-E-1|2017-05-17 16:39:07|34.52
T-E-1|2017-05-17 16:39:19|32.52
T-E-1|2017-05-17 16:39:30|34.52
T-E-1|2017-05-17 16:39:42|31.52
T-E-1|2017-05-17 16:39:54|33.52
T-E-1|2017-05-17 16:40:06|31.51
T-E-1|2017-05-17 16:40:17|32.51
T-E-1|2017-05-17 16:40:29|34.51
T-E-1|2017-05-17 16:40:41|32.51
T-E-1|2017-05-17 16:40:53|33.51
T-E-1|2017-05-17 16:41:05|31.49
T-E-1|2017-05-17 16:41:17|34.49
T-E-1|2017-05-17 16:41:28|31.49
T-E-1|2017-05-17 16:41:40|31.49
T-E-1|2017-05-17 16:41:52|34.49
T-E-1|2017-05-17 16:42:03|32.48
T-E-1|2017-05-17 16:42:15|31.48
T-E-1|2017-05-17 16:42:27|34.48
T-E-1|2017-05-17 16:42:38|32.48
T-E-1|2017-05-17 16:42:50|32.48
T-E-1|2017-05-17 16:43:02|34.46
T-E-1|2017-05-17 16:43:14|32.46
T-E-1|2017-05-17 16:43:25|33.46
T-E-1|2017-05-17 16:43:37|31.46
T-E-1|2017-05-17 16:43:49|32.46
T-E-1|2017-05-17 16:44:00|31.44
T-E-1|2017-05-17 16:44:12|34.44
T-E-1|2017-05-17 16:44:24|31.44
T-E-1|2017-05-17 16:44:36|33.44
T-E-1|2017-05-17 16:44:48|31.44
T-E-1|2017-05-17 16:44:59|33.44
T-E-1|2017-05-17 16:45:11|34.43
T-E-1|2017-05-17 16:45:23|32.43
T-E-1|2017-05-17 16:45:35|32.43
T-E-1|2017-05-17 16:45:46|34.43
T-E-1|2017-05-17 16:45:58|34.43
T-E-1|2017-05-17 16:46:10|32.41
T-E-1|2017-05-17 16:46:22|34.41
T-E-1|2017-05-17 16:46:33|31.41
T-E-1|2017-05-17 16:46:45|33.41
T-E-1|2017-05-17 16:46:57|33.41
T-E-1|2017-05-17 16:47:09|33.4
T-E-1|2017-05-17 16:47:20|34.4
T-E-1|2017-05-17 16:47:32|31.4
T-E-1|2017-05-17 16:47:44|33.4
T-E-1|2017-05-17 16:47:56|33.4
T-E-1|2017-05-17 16:48:08|34.38
T-E-1|2017-05-17 16:48:20|34.38
T-E-1|2017-05-17 16:48:32|32.38
T-E-1|2017-05-17 16:48:44|31.38
T-E-1|2017-05-17 16:48:55|33.38
T-E-1|2017-05-17 16:49:07|32.36
T-E-1|2017-05-17 16:49:19|34.36
T-E-1|2017-05-17 16:49:31|31.36
T-E-1|2017-05-17 16:49:43|33.36
T-E-1|2017-05-17 16:49:54|34.36
T-E-1|2017-05-17 16:50:06|34.35
T-E-1|2017-05-17 16:50:18|31.35
T-E-1|2017-05-17 16:50:30|34.35
T-E-1|2017-05-17 16:50:42|34.35
T-E-1|2017-05-17 16:50:54|34.35
T-E-1|2017-05-17 16:51:05|33.33
T-E-1|2017-05-17 16:51:17|32.33
T-E-1|2017-05-17 16:51:29|33.33
T-E-1|2017-05-17 16:51:42|32.33
T-E-1|2017-05-17 16:51:53|31.33
T-E-1|2017-05-17 16:52:05|32.32
T-E-1|2017-05-17 16:52:17|34.32
T-E-1|2017-05-17 16:52:29|34.32
T-E-1|2017-05-17 16:52:41|32.32
T-E-1|2017-05-17 16:52:53|32.32
T-E-1|2017-05-17 16:53:05|32.3
T-E-1|2017-05-17 16:53:17|32.3
T-E-1|2017-05-17 16:53:29|32.3
T-E-1|2017-05-17 16:53:41|32.3
T-E-1|2017-05-17 16:53:54|32.3
T-E-1|2017-05-17 16:54:06|31.28
T-E-1|2017-05-17 16:54:18|32.28
T-E-1|2017-05-17 16:54:30|32.28
T-E-1|2017-05-17 16:54:42|33.28
T-E-1|2017-05-17 16:54:54|34.28
T-E-1|2017-05-17 16:55:06|32.27
T-E-1|2017-05-17 16:55:18|33.27
T-E-1|2017-05-17 16:55:30|31.27
T-E-1|2017-05-17 16:55:42|33.27
T-E-1|2017-05-17 16:55:54|32.27
T-E-1|2017-05-17 16:56:05|34.25
T-E-1|2017-05-17 16:56:17|34.25
T-E-1|2017-05-17 16:56:29|33.25
T-E-1|2017-05-17 16:56:41|31.25
T-E-1|2017-05-17 16:56:53|31.25
T-E-1|2017-05-17 16:57:04|31.23
T-E-1|2017-05-17 16:57:16|34.23
T-E-1|2017-05-17 16:57:28|34.23
T-E-1|2017-05-17 16:57:40|31.23
T-E-1|2017-05-17 16:57:52|33.23
T-E-1|2017-05-17 16:58:04|32.22
T-E-1|2017-05-17 16:58:15|31.22
T-E-1|2017-05-17 16:58:27|31.22
T-E-1|2017-05-17 16:58:39|31.22
T-E-1|2017-05-17 16:58:51|31.22
T-E-1|2017-05-17 16:59:03|32.2
T-E-1|2017-05-17 16:59:14|31.2
T-E-1|2017-05-17 16:59:26|31.2
T-E-1|2017-05-17 16:59:38|33.2
T-E-1|2017-05-17 16:59:50|33.2
T-E-1|2017-05-17 17:00:04|32.18
T-E-1|2017-05-17 17:00:15|34.18
T-E-1|2017-05-17 17:00:27|34.18
T-E-1|2017-05-17 17:00:39|33.18
T-E-1|2017-05-17 17:00:51|33.18
T-E-1|2017-05-17 17:01:03|33.17
T-E-1|2017-05-17 17:01:15|33.17
T-E-1|2017-05-17 17:01:27|34.17
T-E-1|2017-05-17 17:01:38|34.17
T-E-1|2017-05-17 17:01:50|33.17
T-E-1|2017-05-17 17:02:02|34.15
T-E-1|2017-05-17 17:02:14|32.15
T-E-1|2017-05-17 17:02:26|32.15
T-E-1|2017-05-17 17:02:37|31.15
T-E-1|2017-05-17 17:02:49|32.15
T-E-1|2017-05-17 17:03:01|34.13
T-E-1|2017-05-17 17:03:13|33.13
T-E-1|2017-05-17 17:03:25|33.13
T-E-1|2017-05-17 17:03:36|34.13
T-E-1|2017-05-17 17:03:48|31.13
T-E-1|2017-05-17 17:04:00|32.11
T-E-1|2017-05-17 17:04:12|32.11
T-E-1|2017-05-17 17:04:24|34.11
T-E-1|2017-05-17 17:04:36|34.11
T-E-1|2017-05-17 17:04:48|34.11
T-E-1|2017-05-17 17:04:59|34.11
T-E-1|2017-05-17 17:05:11|33.1
T-E-1|2017-05-17 17:05:23|34.1
T-E-1|2017-05-17 17:05:35|33.1
T-E-1|2017-05-17 17:05:47|31.1
T-E-1|2017-05-17 17:05:59|32.1
T-E-1|2017-05-17 17:06:11|31.08
T-E-1|2017-05-17 17:06:23|33.08
T-E-1|2017-05-17 17:06:35|34.08
T-E-1|2017-05-17 17:06:47|34.08
T-E-1|2017-05-17 17:06:59|34.08
T-E-1|2017-05-17 17:07:11|34.06
T-E-1|2017-05-17 17:07:22|33.06
T-E-1|2017-05-17 17:07:34|32.06
T-E-1|2017-05-17 17:07:46|31.06
T-E-1|2017-05-17 17:07:58|32.06
T-E-1|2017-05-17 17:08:10|32.05
T-E-1|2017-05-17 17:08:22|31.05
T-E-1|2017-05-17 17:08:33|34.05
T-E-1|2017-05-17 17:08:45|33.05
T-E-1|2017-05-17 17:08:57|32.05
T-E-1|2017-05-17 17:09:09|33.03
T-E-1|2017-05-17 17:09:21|32.03
T-E-1|2017-05-17 17:09:33|32.03
T-E-1|2017-05-17 17:09:45|31.03
T-E-1|2017-05-17 17:09:57|34.03
T-E-1|2017-05-17 17:10:09|32.01
T-E-1|2017-05-17 17:10:21|34.01
T-E-1|2017-05-17 17:10:33|32.01
T-E-1|2017-05-17 17:10:45|33.01
T-E-1|2017-05-17 17:10:57|31.01
T-E-1|2017-05-17 17:11:09|32.99
T-E-1|2017-05-17 17:11:21|32.99
T-E-1|2017-05-17 17:11:32|30.99
T-E-1|2017-05-17 17:11:44|33.99
T-E-1|2017-05-17 17:11:56|32.99
T-E-1|2017-05-17 17:12:08|30.98
T-E-1|2017-05-17 17:12:20|32.98
T-E-1|2017-05-17 17:12:32|30.98
T-E-1|2017-05-17 17:12:44|32.98
T-E-1|2017-05-17 17:12:55|30.98
T-E-1|2017-05-17 17:13:07|33.96
T-E-1|2017-05-17 17:13:19|30.96
T-E-1|2017-05-17 17:13:31|33.96
T-E-1|2017-05-17 17:13:43|30.96
T-E-1|2017-05-17 17:13:55|33.96
T-E-1|2017-05-17 17:14:07|31.94
T-E-1|2017-05-17 17:14:19|33.94
T-E-1|2017-05-17 17:14:31|31.94
T-E-1|2017-05-17 17:14:43|32.94
T-E-1|2017-05-17 17:14:54|32.94
T-E-1|2017-05-17 17:15:07|31.92
T-E-1|2017-05-17 17:15:19|32.92
T-E-1|2017-05-17 17:15:31|33.92
T-E-1|2017-05-17 17:15:42|31.92
T-E-1|2017-05-17 17:15:54|31.92
T-E-1|2017-05-17 17:16:06|33.9
T-E-1|2017-05-17 17:16:18|30.9
T-E-1|2017-05-17 17:16:30|30.9
T-E-1|2017-05-17 17:16:42|31.9
T-E-1|2017-05-17 17:16:54|32.9
T-E-1|2017-05-17 17:17:06|30.89
T-E-1|2017-05-17 17:17:18|30.89
T-E-1|2017-05-17 17:17:30|30.89
T-E-1|2017-05-17 17:17:42|31.89
T-E-1|2017-05-17 17:17:54|31.89
T-E-1|2017-05-17 17:18:06|32.87
T-E-1|2017-05-17 17:18:18|32.87
T-E-1|2017-05-17 17:18:30|30.87
T-E-1|2017-05-17 17:18:42|30.87
T-E-1|2017-05-17 17:18:54|31.87
T-E-1|2017-05-17 17:19:05|32.85
T-E-1|2017-05-17 17:19:17|33.85
T-E-1|2017-05-17 17:19:29|30.85
T-E-1|2017-05-17 17:19:41|31.85
T-E-1|2017-05-17 17:19:53|32.85
T-E-1|2017-05-17 17:20:05|30.83
T-E-1|2017-05-17 17:20:17|31.83
T-E-1|2017-05-17 17:20:29|32.83
T-E-1|2017-05-17 17:20:41|32.83
T-E-1|2017-05-17 17:20:53|32.83
T-E-1|2017-05-17 17:21:05|32.82
T-E-1|2017-05-17 17:21:17|30.82
T-E-1|2017-05-17 17:21:29|30.82
T-E-1|2017-05-17 17:21:40|30.82
T-E-1|2017-05-17 17:21:52|30.82
T-E-1|2017-05-17 17:22:04|30.8
T-E-1|2017-05-17 17:22:16|31.8
T-E-1|2017-05-17 17:22:28|32.8
T-E-1|2017-05-17 17:22:40|32.8
T-E-1|2017-05-17 17:22:52|32.8
T-E-1|2017-05-17 17:23:04|30.78
T-E-1|2017-05-17 17:23:16|31.78
T-E-1|2017-05-17 17:23:28|33.78
T-E-1|2017-05-17 17:23:40|33.78
T-E-1|2017-05-17 17:23:52|31.78
T-E-1|2017-05-17 17:24:04|30.76
T-E-1|2017-05-17 17:24:16|31.76
T-E-1|2017-05-17 17:24:28|31.76
T-E-1|2017-05-17 17:24:40|31.76
T-E-1|2017-05-17 17:24:52|33.76
T-E-1|2017-05-17 17:25:04|33.74
T-E-1|2017-05-17 17:25:16|33.74
T-E-1|2017-05-17 17:25:27|30.74
T-E-1|2017-05-17 17:25:39|33.74
T-E-1|2017-05-17 17:25:51|32.74
T-E-1|2017-05-17 17:26:03|31.72
T-E-1|2017-05-17 17:26:15|30.72
T-E-1|2017-05-17 17:26:27|31.72
T-E-1|2017-05-17 17:26:39|31.72
T-E-1|2017-05-17 17:26:51|31.72
T-E-1|2017-05-17 17:27:03|32.71
T-E-1|2017-05-17 17:27:15|31.71
