测点编号|监测时间|应变值(με)|温度(℃)
S-SA-AL1|2017-05-17 16:14:44|-327|31
S-SA-AL1|2017-05-17 16:14:55|-289|34
S-SA-AL1|2017-05-17 16:15:07|-395|34
S-SA-AL1|2017-05-17 16:15:18|-288|30
S-SA-AL1|2017-05-17 16:15:30|-323|34
S-SA-AL1|2017-05-17 16:15:41|-356|30
S-SA-AL1|2017-05-17 16:15:52|-389|32
S-SA-AL1|2017-05-17 16:16:04|-283|34
S-SA-AL1|2017-05-17 16:16:15|-388|31
S-SA-AL1|2017-05-17 16:16:26|-353|34
S-SA-AL1|2017-05-17 16:16:38|-382|34
S-SA-AL1|2017-05-17 16:16:49|-344|32
S-SA-AL1|2017-05-17 16:17:01|-308|33
S-SA-AL1|2017-05-17 16:17:12|-269|34
S-SA-AL1|2017-05-17 16:17:23|-302|33
S-SA-AL1|2017-05-17 16:17:35|-270|34
S-SA-AL1|2017-05-17 16:17:46|-303|31
S-SA-AL1|2017-05-17 16:17:58|-336|33
S-SA-AL1|2017-05-17 16:18:09|-369|32
S-SA-AL1|2017-05-17 16:18:20|-398|30
S-SA-AL1|2017-05-17 16:18:32|-294|34
S-SA-AL1|2017-05-17 16:18:43|-392|31
S-SA-AL1|2017-05-17 16:18:55|-356|31
S-SA-AL1|2017-05-17 16:19:06|-321|31
S-SA-AL1|2017-05-17 16:19:18|-282|32
S-SA-AL1|2017-05-17 16:19:29|-383|33
S-SA-AL1|2017-05-17 16:19:40|-343|34
S-SA-AL1|2017-05-17 16:19:52|-308|32
S-SA-AL1|2017-05-17 16:20:03|-272|32
S-SA-AL1|2017-05-17 16:20:15|-302|30
S-SA-AL1|2017-05-17 16:20:26|-338|33
S-SA-AL1|2017-05-17 16:20:37|-371|30
S-SA-AL1|2017-05-17 16:20:49|-336|32
S-SA-AL1|2017-05-17 16:21:00|-366|32
S-SA-AL1|2017-05-17 16:21:12|-330|30
S-SA-AL1|2017-05-17 16:21:23|-291|31
S-SA-AL1|2017-05-17 16:21:34|-392|30
S-SA-AL1|2017-05-17 16:21:46|-285|32
S-SA-AL1|2017-05-17 16:21:57|-317|31
S-SA-AL1|2017-05-17 16:22:09|-354|32
S-SA-AL1|2017-05-17 16:22:20|-315|33
S-SA-AL1|2017-05-17 16:22:32|-347|32
S-SA-AL1|2017-05-17 16:22:43|-308|33
S-SA-AL1|2017-05-17 16:22:54|-269|34
S-SA-AL1|2017-05-17 16:23:06|-302|34
S-SA-AL1|2017-05-17 16:23:17|-270|30
S-SA-AL1|2017-05-17 16:23:29|-299|31
S-SA-AL1|2017-05-17 16:23:40|-328|31
S-SA-AL1|2017-05-17 16:23:52|-363|32
S-SA-AL1|2017-05-17 16:24:03|-393|33
S-SA-AL1|2017-05-17 16:24:14|-356|31
S-SA-AL1|2017-05-17 16:24:26|-385|34
S-SA-AL1|2017-05-17 16:24:37|-273|32
S-SA-AL1|2017-05-17 16:24:49|-374|31
S-SA-AL1|2017-05-17 16:25:00|-267|32
S-SA-AL1|2017-05-17 16:25:12|-368|33
S-SA-AL1|2017-05-17 16:25:23|-263|30
S-SA-AL1|2017-05-17 16:25:35|-359|32
S-SA-AL1|2017-05-17 16:25:46|-320|31
S-SA-AL1|2017-05-17 16:25:58|-352|33
S-SA-AL1|2017-05-17 16:26:09|-312|32
S-SA-AL1|2017-05-17 16:26:20|-341|32
S-SA-AL1|2017-05-17 16:26:32|-377|31
S-SA-AL1|2017-05-17 16:26:43|-262|30
S-SA-AL1|2017-05-17 16:26:55|-294|32
S-SA-AL1|2017-05-17 16:27:06|-394|31
S-SA-AL1|2017-05-17 16:27:18|-286|33
S-SA-AL1|2017-05-17 16:27:29|-315|33
S-SA-AL1|2017-05-17 16:27:41|-274|33
S-SA-AL1|2017-05-17 16:27:52|-375|31
S-SA-AL1|2017-05-17 16:28:04|-266|31
S-SA-AL1|2017-05-17 16:28:15|-362|34
S-SA-AL1|2017-05-17 16:28:27|-326|32
S-SA-AL1|2017-05-17 16:28:38|-351|34
S-SA-AL1|2017-05-17 16:28:50|-309|30
S-SA-AL1|2017-05-17 16:29:02|-398|30
S-SA-AL1|2017-05-17 16:29:14|-345|33
S-SA-AL1|2017-05-17 16:29:25|-306|34
S-SA-AL1|2017-05-17 16:29:37|-336|32
S-SA-AL1|2017-05-17 16:29:48|-355|31
S-SA-AL1|2017-05-17 16:30:00|-314|30
S-SA-AL1|2017-05-17 16:30:12|-342|31
S-SA-AL1|2017-05-17 16:30:23|-366|30
S-SA-AL1|2017-05-17 16:30:35|-396|33
S-SA-AL1|2017-05-17 16:30:46|-280|32
S-SA-AL1|2017-05-17 16:30:58|-373|31
S-SA-AL1|2017-05-17 16:31:10|-333|30
S-SA-AL1|2017-05-17 16:31:21|-289|33
S-SA-AL1|2017-05-17 16:31:33|-387|34
S-SA-AL1|2017-05-17 16:31:44|-272|31
S-SA-AL1|2017-05-17 16:31:56|-368|32
S-SA-AL1|2017-05-17 16:32:07|-399|31
S-SA-AL1|2017-05-17 16:32:19|-287|32
S-SA-AL1|2017-05-17 16:32:31|-383|30
S-SA-AL1|2017-05-17 16:32:42|-270|31
S-SA-AL1|2017-05-17 16:32:54|-366|31
S-SA-AL1|2017-05-17 16:33:05|-397|31
S-SA-AL1|2017-05-17 16:33:17|-285|34
S-SA-AL1|2017-05-17 16:33:28|-316|34
S-SA-AL1|2017-05-17 16:33:40|-340|34
S-SA-AL1|2017-05-17 16:33:51|-367|32
S-SA-AL1|2017-05-17 16:34:03|-327|34
S-SA-AL1|2017-05-17 16:34:15|-283|34
S-SA-AL1|2017-05-17 16:34:26|-310|30
S-SA-AL1|2017-05-17 16:34:38|-336|34
S-SA-AL1|2017-05-17 16:34:50|-287|33
S-SA-AL1|2017-05-17 16:35:01|-376|33
S-SA-AL1|2017-05-17 16:35:13|-398|33
S-SA-AL1|2017-05-17 16:35:25|-281|33
S-SA-AL1|2017-05-17 16:35:36|-305|33
S-SA-AL1|2017-05-17 16:35:48|-267|31
S-SA-AL1|2017-05-17 16:36:00|-362|34
S-SA-AL1|2017-05-17 16:36:11|-314|33
S-SA-AL1|2017-05-17 16:36:23|-344|30
S-SA-AL1|2017-05-17 16:36:34|-369|32
S-SA-AL1|2017-05-17 16:36:46|-328|31
S-SA-AL1|2017-05-17 16:36:57|-285|34
S-SA-AL1|2017-05-17 16:37:09|-311|30
S-SA-AL1|2017-05-17 16:37:21|-266|31
S-SA-AL1|2017-05-17 16:37:32|-359|34
S-SA-AL1|2017-05-17 16:37:44|-311|33
S-SA-AL1|2017-05-17 16:37:56|-338|32
S-SA-AL1|2017-05-17 16:38:07|-291|33
S-SA-AL1|2017-05-17 16:38:19|-314|33
S-SA-AL1|2017-05-17 16:38:31|-266|32
S-SA-AL1|2017-05-17 16:38:43|-350|33
S-SA-AL1|2017-05-17 16:38:54|-307|30
S-SA-AL1|2017-05-17 16:39:06|-327|33
S-SA-AL1|2017-05-17 16:39:18|-276|31
S-SA-AL1|2017-05-17 16:39:30|-370|32
S-SA-AL1|2017-05-17 16:39:41|-325|34
S-SA-AL1|2017-05-17 16:39:53|-280|30
S-SA-AL1|2017-05-17 16:40:05|-374|33
S-SA-AL1|2017-05-17 16:40:16|-392|32
S-SA-AL1|2017-05-17 16:40:28|-278|31
S-SA-AL1|2017-05-17 16:40:40|-290|34
S-SA-AL1|2017-05-17 16:40:52|-374|31
S-SA-AL1|2017-05-17 16:41:04|-382|33
S-SA-AL1|2017-05-17 16:41:16|-332|32
S-SA-AL1|2017-05-17 16:41:28|-282|32
S-SA-AL1|2017-05-17 16:41:39|-309|33
S-SA-AL1|2017-05-17 16:41:51|-335|34
S-SA-AL1|2017-05-17 16:42:03|-354|30
S-SA-AL1|2017-05-17 16:42:14|-377|30
S-SA-AL1|2017-05-17 16:42:26|-263|32
S-SA-AL1|2017-05-17 16:42:38|-289|31
S-SA-AL1|2017-05-17 16:42:49|-384|34
S-SA-AL1|2017-05-17 16:43:01|-335|33
S-SA-AL1|2017-05-17 16:43:13|-286|34
S-SA-AL1|2017-05-17 16:43:25|-376|32
S-SA-AL1|2017-05-17 16:43:36|-261|31
S-SA-AL1|2017-05-17 16:43:48|-355|34
S-SA-AL1|2017-05-17 16:44:00|-374|30
S-SA-AL1|2017-05-17 16:44:11|-261|31
S-SA-AL1|2017-05-17 16:44:23|-355|30
S-SA-AL1|2017-05-17 16:44:35|-305|34
S-SA-AL1|2017-05-17 16:44:47|-390|32
S-SA-AL1|2017-05-17 16:44:58|-268|31
S-SA-AL1|2017-05-17 16:45:10|-357|34
S-SA-AL1|2017-05-17 16:45:22|-312|34
S-SA-AL1|2017-05-17 16:45:34|-333|30
S-SA-AL1|2017-05-17 16:45:46|-281|32
S-SA-AL1|2017-05-17 16:45:57|-371|34
S-SA-AL1|2017-05-17 16:46:09|-391|30
S-SA-AL1|2017-05-17 16:46:21|-276|34
S-SA-AL1|2017-05-17 16:46:32|-298|32
S-SA-AL1|2017-05-17 16:46:44|-389|31
S-SA-AL1|2017-05-17 16:46:56|-267|33
S-SA-AL1|2017-05-17 16:47:08|-360|34
S-SA-AL1|2017-05-17 16:47:20|-378|32
S-SA-AL1|2017-05-17 16:47:31|-332|31
S-SA-AL1|2017-05-17 16:47:43|-283|30
S-SA-AL1|2017-05-17 16:47:55|-372|32
S-SA-AL1|2017-05-17 16:48:07|-389|34
S-SA-AL1|2017-05-17 16:48:19|-327|32
S-SA-AL1|2017-05-17 16:48:31|-273|31
S-SA-AL1|2017-05-17 16:48:43|-294|31
S-SA-AL1|2017-05-17 16:48:55|-374|34
S-SA-AL1|2017-05-17 16:49:06|-394|32
S-SA-AL1|2017-05-17 16:49:18|-263|31
S-SA-AL1|2017-05-17 16:49:30|-288|33
S-SA-AL1|2017-05-17 16:49:42|-375|33
S-SA-AL1|2017-05-17 16:49:54|-400|30
S-SA-AL1|2017-05-17 16:50:05|-282|32
S-SA-AL1|2017-05-17 16:50:17|-372|30
S-SA-AL1|2017-05-17 16:50:29|-318|30
S-SA-AL1|2017-05-17 16:50:41|-331|31
S-SA-AL1|2017-05-17 16:50:53|-352|31
S-SA-AL1|2017-05-17 16:51:05|-373|32
S-SA-AL1|2017-05-17 16:51:16|-322|31
S-SA-AL1|2017-05-17 16:51:28|-263|34
S-SA-AL1|2017-05-17 16:51:40|-275|32
S-SA-AL1|2017-05-17 16:51:53|-354|30
S-SA-AL1|2017-05-17 16:52:04|-370|32
S-SA-AL1|2017-05-17 16:52:16|-319|34
S-SA-AL1|2017-05-17 16:52:28|-263|30
S-SA-AL1|2017-05-17 16:52:40|-271|32
S-SA-AL1|2017-05-17 16:52:52|-282|31
S-SA-AL1|2017-05-17 16:53:04|-369|31
S-SA-AL1|2017-05-17 16:53:16|-310|31
S-SA-AL1|2017-05-17 16:53:28|-317|31
S-SA-AL1|2017-05-17 16:53:40|-265|31
S-SA-AL1|2017-05-17 16:53:52|-346|31
S-SA-AL1|2017-05-17 16:54:05|-356|32
S-SA-AL1|2017-05-17 16:54:17|-367|33
S-SA-AL1|2017-05-17 16:54:29|-379|34
S-SA-AL1|2017-05-17 16:54:41|-391|30
S-SA-AL1|2017-05-17 16:54:53|-330|30
S-SA-AL1|2017-05-17 16:55:05|-265|32
S-SA-AL1|2017-05-17 16:55:17|-272|32
S-SA-AL1|2017-05-17 16:55:29|-355|33
S-SA-AL1|2017-05-17 16:55:41|-375|31
S-SA-AL1|2017-05-17 16:55:53|-321|32
S-SA-AL1|2017-05-17 16:56:05|-342|30
S-SA-AL1|2017-05-17 16:56:16|-288|31
S-SA-AL1|2017-05-17 16:56:28|-379|33
S-SA-AL1|2017-05-17 16:56:40|-399|31
S-SA-AL1|2017-05-17 16:56:52|-349|33
S-SA-AL1|2017-05-17 16:57:04|-370|33
S-SA-AL1|2017-05-17 16:57:15|-320|33
S-SA-AL1|2017-05-17 16:57:27|-266|31
S-SA-AL1|2017-05-17 16:57:39|-351|32
S-SA-AL1|2017-05-17 16:57:51|-368|31
S-SA-AL1|2017-05-17 16:58:03|-317|31
S-SA-AL1|2017-05-17 16:58:14|-269|30
S-SA-AL1|2017-05-17 16:58:26|-359|32
S-SA-AL1|2017-05-17 16:58:38|-377|34
S-SA-AL1|2017-05-17 16:58:50|-395|30
S-SA-AL1|2017-05-17 16:59:02|-277|33
S-SA-AL1|2017-05-17 16:59:13|-366|32
S-SA-AL1|2017-05-17 16:59:25|-316|34
S-SA-AL1|2017-05-17 16:59:37|-336|33
S-SA-AL1|2017-05-17 16:59:49|-351|30
S-SA-AL1|2017-05-17 17:00:02|-322|31
S-SA-AL1|2017-05-17 17:00:15|-346|32
S-SA-AL1|2017-05-17 17:00:26|-370|34
S-SA-AL1|2017-05-17 17:00:38|-297|30
S-SA-AL1|2017-05-17 17:00:50|-326|30
S-SA-AL1|2017-05-17 17:01:02|-448|32
S-SA-AL1|2017-05-17 17:01:14|-268|32
S-SA-AL1|2017-05-17 17:01:26|-294|33
S-SA-AL1|2017-05-17 17:01:38|-319|34
S-SA-AL1|2017-05-17 17:01:49|-440|34
S-SA-AL1|2017-05-17 17:02:01|-373|33
S-SA-AL1|2017-05-17 17:02:13|-305|32
S-SA-AL1|2017-05-17 17:02:25|-432|33
S-SA-AL1|2017-05-17 17:02:37|-261|34
S-SA-AL1|2017-05-17 17:02:48|-388|32
S-SA-AL1|2017-05-17 17:03:00|-423|31
S-SA-AL1|2017-05-17 17:03:12|-435|30
S-SA-AL1|2017-05-17 17:03:24|-367|32
S-SA-AL1|2017-05-17 17:03:35|-299|34
S-SA-AL1|2017-05-17 17:03:48|-419|32
S-SA-AL1|2017-05-17 17:03:59|-343|33
S-SA-AL1|2017-05-17 17:04:11|-360|34
S-SA-AL1|2017-05-17 17:04:23|-388|32
S-SA-AL1|2017-05-17 17:04:35|-417|32
S-SA-AL1|2017-05-17 17:04:47|-344|30
S-SA-AL1|2017-05-17 17:04:58|-281|31
S-SA-AL1|2017-05-17 17:05:10|-402|31
S-SA-AL1|2017-05-17 17:05:22|-334|33
S-SA-AL1|2017-05-17 17:05:34|-343|30
S-SA-AL1|2017-05-17 17:05:46|-366|30
S-SA-AL1|2017-05-17 17:05:58|-384|32
S-SA-AL1|2017-05-17 17:06:10|-312|30
S-SA-AL1|2017-05-17 17:06:22|-335|32
S-SA-AL1|2017-05-17 17:06:34|-353|30
S-SA-AL1|2017-05-17 17:06:46|-377|31
S-SA-AL1|2017-05-17 17:06:58|-302|33
S-SA-AL1|2017-05-17 17:07:10|-316|31
S-SA-AL1|2017-05-17 17:07:21|-437|31
S-SA-AL1|2017-05-17 17:07:33|-364|32
S-SA-AL1|2017-05-17 17:07:45|-295|32
S-SA-AL1|2017-05-17 17:07:57|-321|33
S-SA-AL1|2017-05-17 17:08:09|-438|33
S-SA-AL1|2017-05-17 17:08:21|-365|34
S-SA-AL1|2017-05-17 17:08:33|-296|34
S-SA-AL1|2017-05-17 17:08:44|-421|33
S-SA-AL1|2017-05-17 17:08:56|-445|34
S-SA-AL1|2017-05-17 17:09:08|-363|34
